scheme_name,details,benefits,eligibility,app_process,docs_reqd,url
Krushy Aranya Protsaha Yojane (kapy),"The Karnataka Forest Department launched the 'Krushi Aranya Protsaha Yojane (KAPY)' program in 2011-12 to encourage farmers and the general public to increase forest and tree cover. The program provides subsidized seedlings to farmers for planting on their lands. Farmers are paid an incentive of Rs 35 for every surviving seedling at the end of the first year, Rs 40 after the completion of the second year, and Rs 50 after the completion of the third year. This is done to encourage the farmers to nurture the seedlings for at least three years.


The amount of money provided as an incentive (Rs 125/- per seedling) more than compensates the cost incurred by the farmer in procuring and planting the seedling. The incentive is quite substantial when the farmer plants more seedlings. In addition to the financial incentive, the farmers are entitled to get handsome returns from the grown-up trees in the form of fruits, seeds, fodder, firewood, pole, timber, and other useful products.","Increased forest and tree cover: The main benefit of the Krushi Aranya Protsaha Yojane (KAPY) scheme is the promotion of the cooperation of farmers and the general public in the task of increasing forest and tree cover.Subsidized seedlings: Under the scheme, farmers are provided seedlings at subsidized rates from the nearest nurseries of the Forest Department for planting in their lands.Monetary incentive: The farmers are paid an amount of Rs 35 as an incentive for every surviving seedling at the end of the first year, Rs 40 for the second year, and Rs 50 for the third year.Encourages nurturing: The incentive is given to encourage the farmer not only to plant the seedlings but also to nurture them at least for three years.Compensates cost: The total amount of money provided (Rs 125/- per seedling) more than compensates the cost incurred by the farmer in procuring and planting the seedling.Restriction on ineligible species: The scheme has restrictions on ineligible tree species, which helps promote the planting of appropriate tree species and prevents the proliferation of invasive species.","This scheme is open to farmers belonging to all communities.Applicant must have Pahani of the land where planting is being proposed.Registration should be done before the commencement of the rainy season (by the end of May).The following species of trees are not eligible for payment of incentive amount- Eucalyptus, Acacia, Silver Oak (if planted in coffee estate), Casuarina, Cassia siamea (Seemetangadi), Gliricidia, Sesbania, Erythrina, Rubber, Subabul, Coconut, Arecanut, Orange, all types of citrus species and grafted mango.The following documents are required while applying for this scheme - Copy of Aadhaar Card, Passport-sized photograph of the applicant, Pahani of the land where planting is being proposed, Hand-sketch of the land, Details of seedlings (species, number of seedlings, size of poly-bags, etc.), Details of the applicant's bank account.","Step 01: Visit the nearest Range Forest Office and obtain the prescribed Application Form.


Step 02: Fill out the application form with the following details- name, address, and passport-sized photograph of the applicant, Pahani of the land where planting is being proposed, Hand-sketch of the land, Details of seedlings (species, number of seedlings, size of poly-bags, etc.), and Details of the applicant's bank account.


Step 03: Submit the application form along with a registration fee of Rs 10.


Step 04: Once registered, the applicant should visit the nearby nursery to obtain the seedlings. The seedlings are available at subsidized rates as follows- Re 1/- for each seedling in poly-bags of size 5”x8” and 6”x9”, Rs 3/- for each seedling in poly-bags of size 8”x12”, and Rs 5/- for each seedling in poly-bag of size 10”x16” and 14”x 20”. The farmer can choose the appropriate size of the poly-bag based on the seedling species and size.","Copy of Aadhaar CardPassport-sized photograph of the applicantPahani of the land where planting is being proposedHand-sketch of the landDetails of seedlings (species, number of seedlings, size of poly-bags, etc.)Details of the applicant’s bank account.",https://www.myscheme.gov.in/schemes/kapy
YSR Jala Kala,"The scheme ""YSR Jala Kala"" is one of the 'NAVARATNALU' schemes by the Department of Rural Development, Govt. of Andhra Pradesh. In this program, bore wells are drilled free of cost to the needy and eligible farmers in all thirteen districts of the state. NAVARATNALU is a concept coined to improve the delivery systems and improve the living standards of the people, and the quality of the governance in the state. Of the welfare schemes under NAVARATNALU, “YSR Jala Kala"" is aimed at utilizing the available groundwater resources for the improvement of the livelihoods of the farmers and thereby improving the GSDP under the primary sector.  This shall help in optimally utilizing groundwater resources for the purpose of irrigating every acre of arable land. These bore wells shall be drilled after conducting integrated Hydrogeological and Geophysical surveys in the field for identifying feasible sites before taking up the drilling activity.","Drilling of the Borewells: A drilled borewell with a minimum yield of 1000 GPH (4500 liters per hour) by 900 ‘V’ notch method.In case, the bore well fails, the drilling contractor shall drill the second bore well in the land of the same farmer, if feasible, and refill the failed bore well with soil and stone pieces before shifting the rig or utilizing that as a recharge well.Construction of Recharge Pit / Water Harvesting Structure.A social Audit will be conducted for all the borewells drilled.The digital photograph with geo-tag (date, time, latitude, and longitude) shall be taken by the concerned authorities deputed along with the beneficiary in the presence of the drilling contractor after completion of borewell drilling,",The applicant should be a Farmer.The applicant should be a resident of the state of Andhra Pradesh.The applicant should be without an existing bore well/tube well OR having a failed bore well/tube well.,"Step 1: The eligible beneficiary shall submit the filled-in application at the Village Secretariat along with a copy of the Required (Self-Attested) Documents. 


Step 2 (Optional): After submitting the application, the farmers can track the status of their application online at any point in time. If farmers have any queries/grievances regarding the implementation of the program, they can post their complaints/queries/grievances online on the www.ysrjalakala.ap.gov.in website and offline through Spandana Toll-Free No. 1902.


Post-Application Processes:
Step 1: The applications shall be scrutinized at Village Secretariat by VRO after field verification and shall be submitted to the Assistant Project Director DWMA/MPDO. 


Step 2: Applications received by the APD, DWMA / MPDO shall be sent to the drilling contractor of the concerned Assembly Constituency for conducting the integrated hydrogeological and geophysical survey.


Feasibility Assessment:
Step 1: The drilling contractor shall engage Geologist/Geophysicist from the Ground Water and Water Audit department/any qualified Geologist/Geophysicist registered with the Ground Water and Water Audit Department for locating the feasible sites in the lands of beneficiaries for drilling bore wells successfully.


Step 2: Selection of feasible sites by the drilling contractor shall be done by adhering to Andhra Pradesh Water, Land and Trees Act,2002 (APWALTA) norms and Government orders from time to time.


Step 3: The details of the feasible sites identified along with respective integrated hydrogeological and geophysical survey reports shall be submitted to APD, DWMA / MPDO by the drilling contractor.


Step 4: Any technical advice regarding the integrated hydrogeological and geophysical surveys can be obtained from the Deputy Director, Ground Water and Water Audit Department of concerned districts if necessary




Sanction of the Scheme:
Step 1: APD, DWMA / MPDO shall generate estimates for the construction of bore wells for each beneficiary after receiving the feasibility reports from the drilling contracts after due verification. APD, DWMA / MPDO shall send the estimates to PD, DWMA. 


Step 2: The Project Director DWMA will verify and send the estimates to the District Collector for according to Administrative Sanction. The District Collector shall accord Administrative Sanction of the scheme to the eligible beneficiaries after due verifications.",Aadhar cardWhite Ration CardApplication formFirst and Second Page of the Land PassbookResidential proofPassport size photographMobile numberCaste certificate,https://www.myscheme.gov.in/schemes/ysrjk
Indian Agricultural Research Institute - Scholarship,"The Awards shall be made by the Dean and Joint Director (Education) of the Institute on the advice of the “Standing Committee on Scholarships Financial Assistance and Academic Progress”, which shall take into consideration the merit of
each applicant based initially on his admission and subsequently on his performance at the Post Graduate School. ","The value of the M.Sc. and Ph.D. scholarship will be ₹ 7,560/- and ₹ 10,500/- per month, respectively. The scholarship shall be drawn in the extension period also where such extension beyond two/three years, respectively, has been granted. The scholarship will be inclusive of all fees and other charges of the teaching institution. In addition to the monthly amount of junior/senior scholarship a contingent grant of ₹ 6,000/- per academic year for M.Sc. students, and ₹ 10,000/- per academic year for Ph.D. students will be paid towards the cost of experimental material, books, the thesis and the study tours required for the study as recommended by the Chairperson/Professor concerned.


Scholarship to the In-service Candidates/ Departmental Students
As per ICAR norms, the In-service candidates joining M.Sc./Ph.D. course on study leave/ deputation who are in receipt of study allowance/ halting allowance/deputation allowance, etc. in addition to full leave salary, the scholarship amount will be adjusted so that they will get a maximum benefit of ₹ 3,000/- p.m. only in addition to full leave salary. This is in addition to the payment of the contingent grant. Those in-service candidates who are not in receipt of JRF/SRF and receiving a partial salary (half or leave without pay) will also be eligible to get an Institute Scholarship of ₹ 3,000/- p.m. provided they are employed by ICAR/SAU system, either nominated by ICAR or selected for admission by any university and who opt to join at a place other than the one where working and provided further that the third degree is not from the same institute.","To request an application form and the Information Bulletin, send a crossed Demand Draft for ₹ 575/- drawn in favour of the Registrar, Post Graduate School, Indian Agricultural Research Institute, New Delhi 110 012, along with a written request clearly indicating your full and legible address.You can also purchase the application form and the Information Bulletin in person at Syndicate Bank, Pusa Campus by making a payment of ₹ 500/- (₹ 250/- for SC/ST/PC candidates plus the charges prescribed by the Bank).You can also download the Information Bulletin, Admit Cards, Application Form, and Acknowledgement Card from the Institute website at http://www.iari.res.in. In this case, you must enclose a Demand Draft of ₹ 500/- (for the General/ OBC category) and ₹ 250/- (for SC/ST/PC category) along with the Application Form.All correspondence for admission should be addressed to the Registrar, Post Graduate School, Indian Agricultural Research Institute, New Delhi 110 012. Each application form will have a serial number. Please quote this number, as well as the program (M.Sc./M.Tech./Ph.D.) and the discipline to which you are seeking admission, in all correspondence regarding admission to this School.If applicant is employed, then he/she must submit his/her application through his/her employer. ","To request an application form and the Information Bulletin, send a crossed Demand Draft for ₹ 575/- drawn in favour of the Registrar, Post Graduate School, Indian Agricultural Research Institute, New Delhi 110 012, along with a written request clearly indicating your full and legible address.You can also purchase the application form and the Information Bulletin in person at Syndicate Bank, Pusa Campus by making a payment of ₹ 500/- (₹ 250/- for SC/ST/PC candidates plus the charges prescribed by the Bank).You can also download the Information Bulletin, Admit Cards, Application Form, and Acknowledgement Card from the Institute website at http://www.iari.res.in. In this case, you must enclose a Demand Draft of ₹ 500/- (for the General/ OBC category) and ₹ 250/- (for SC/ST/PC category) along with the Application Form.All correspondence for admission should be addressed to the Registrar, Post Graduate School, Indian Agricultural Research Institute, New Delhi 110 012. Each application form will have a serial number. Please quote this number, as well as the program (M.Sc./M.Tech./Ph.D.) and the discipline to which you are seeking admission, in all correspondence regarding admission to this School.If applicant is employed, then he/she must submit his/her application through his/her employer. ","1. Proof of date of birth.
2. Matriculation (10th) or equivalent certificate and mark sheet.
3. Higher Secondary examination certificate mark sheet, if applicable.
4. Intermediate (12th) examination certificate and mark sheet, if applicable.
5. Bachelor’s degree certificate and mark sheet.
6. Master’s degree certificate and mark sheet.
7. Course Completion Certificate. 
8. Caste Certificate. 
9. Two passport-size photograph.",https://www.myscheme.gov.in/schemes/iaris
Kisan Credit Card,"The KCC Scheme was introduced with the objective of providing adequate and timely credit to the farmers for their agricultural operations. The Government of India provides interest subvention of 2% and Prompt Repayment Incentive of 3% to the farmers, thus making the credit available at a very subsidized rate of 4% per annum. 
The scheme was further extended for the investment credit requirement of farmers viz. allied and non-farm activities in the year 2004 and further revisited in 2012 by a working Group under the Chairmanship of Shri T. M. Bhasin, CMD, Indian Bank with a view to simplify the scheme and facilitate issue of Electronic Kisan Credit Cards. The scheme provides broad guidelines to banks for operationalizing the KCC scheme. Implementing banks will have the discretion to adopt the same to suit institution/location-specific requirements.


Objective / Purpose
The Kisan Credit Card scheme aims at providing adequate and timely credit support from the banking system under a single window with the flexible and simplified procedures to the farmers for their cultivation and other needs as indicated below :
To meet the short term credit requirements for the cultivation of crops;Post-harvest expenses;Produce marketing loan;Consumption requirements of farmer household;Working capital for maintenance of farm assets and activities allied to agriculture;Investment credit requirement for agriculture and allied activities","Fixation of credit limit/Loan amount
The short-term limit to arrive for the first year: For farmers raising a single crop in a year: Scale of finance for the crop (as decided by District Level Technical Committee) x Extent of area cultivated + 10% of limit towards post-harvest / household/consumption requirements + 20% of limit towards repairs and maintenance expenses of farm assets + crop insurance, PAIS & asset insurance.Limit for second & subsequent year: First-year limit for crop cultivation purposes arrived at as above plus 10% of the limit towards cost escalation/increase in the scale of finance for every successive year ( 2nd, 3rd, 4th and 5th year) and estimated Term loan component for the tenure of Kisan Credit Card, i.e., five years.For farmers raising more than one crop in a year, the limit is to be fixed as above depending upon the crops cultivated as per the proposed cropping pattern for the first year and an additional 10% of the limit towards cost escalation/increase in the scale of finance for every successive year (2nd, 3rd, 4th and 5th year). It is assumed that the farmer adopts the same cropping pattern for the remaining four years also. In case the cropping pattern adopted by the farmer is changed in the subsequent year, the limit may be reworked. Term loans for investments towards land development, minor irrigation, purchase of farm equipment and allied agricultural activities. The banks may fix the quantum of credit for the term and working capital limit for agricultural and allied activities, etc., based on the unit cost of the asset/s proposed to be acquired by the farmer, the allied activities already being undertaken on the farm, the bank’s judgment on repayment capacity vis-a-vis total loan burden devolving on the farmer, including existing loan obligations.The long-term loan limit is based on the proposed investments during the five-year period and the bank’s perception of the repaying capacity of the farmer Maximum Permissible Limit: The short-term loan limit arrived for the 5th year plus the estimated long-term loan requirement will be the Maximum Permissible Limit (MPL) and treated as the Kisan Credit Card Limit.Fixation of Sub-limits for other than Marginal Farmers: 
Short-term loans and term loans are governed by different interest rates. Besides, at present, short-term crop loans are covered under Interest Subvention Scheme/ Prompt Repayment Incentive scheme. Further, repayment schedules and norms are different for short-term and term loans. Hence, in order to have operational and accounting convenience, the card limit is to be bifurcated into separate sub-limits for short-term cash credit limit cum savings account and term loans. The drawing limit for short-term cash credit should be fixed based on the cropping pattern and the amounts for crop production, repairs and maintenance of farm assets and consumption may be allowed to be drawn at the convenience of the farmer. In case the revision of the scale of finance for any year by the district-level committee exceeds the notional hike of 10% contemplated while fixing the five-year limit, a revised drawable limit may be fixed and the farmer is advised about the same. In case such revisions require the card limit itself to be enhanced (4th or 5th year), the same may be done and the farmer be so advised. For term loans, instalments may be allowed to be withdrawn based on the nature of the investment and the repayment schedule drawn as per the economic life of the proposed investments. It is to be ensured that at any point in time, the total liability should be within the drawing limit of the concerned year. Wherever the card limit/liability so arrived warrants additional security, the banks may take suitable collateral as per their policy.","Eligibility
Farmers - individual/joint borrowers who are owner cultivators;Tenant farmers, oral lessees & share croppers;Self Help Groups (SHGs) or Joint Liability Groups (JLGs) of farmers including tenant farmers, share croppers etc","Online: Visit the website of the bank you wish to apply for the kisan credit card scheme. From the list of options, choose the Kisan Credit Card.  On clicking the option of ‘Apply’, the website will redirect you to the application page.  Fill the form with the required details and click on ‘Submit’. On doing so, an application reference number will be sent. If you are eligible, the bank will get back to you for the further process within 3-4 working days.

Offline: Offline applications can be done by visiting the branch of the bank of your choice or by downloading the application form from the website of the bank as well. The applicant can visit the branch and begin the application process with the help of the bank representative. ","Application Form.Two Passport Size Photographs.ID proof such as Driving License / Aadhar Card / Voter Identity Card / Passport. Address Proof such as Driving License, Aadhar Card.Proof of landholding duly certified by the revenue authorities.Cropping pattern (Crops grown) with acreage.Security documents for loan limit above Rs.1.60 lakhs / Rs.3.00 lakhs, as applicable.Any other document as per sanction.",https://www.myscheme.gov.in/schemes/kcc
Stipend Scheme For Poultry Farming Training For Weaker Section,"The scheme “Stipend Scheme for Poultry Farming Training for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers by scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)Beneficiary will be given poultry training certificate after completion of training. ",The benefits of this scheme will only be given to the adult of economically weaker sections people of the society of Gujarat State.The beneficiary will have to provide income proof along with the application.Females and beneficiaries Below Poverty Line will be given priority.,"Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 05: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 06: Take a printout of the confirmed application.","Identity proof i.e. Aadhaar Card, Voter ID CardIncome Proof CertificateBelow Poverty Line Card (If applicable)Residence proofCaste CertificateDisability Certificate from Competent Authority (only for PWDs) (if applicable)Barcoded Ration Card (if applicable)Savings Account Bank Passbook or Cancelled Check (if applicable)",https://www.myscheme.gov.in/schemes/sspftws
DEVELOPMENT OF HANDICRAFTS,"The government of Puducherry takes the initiative to revive the vanishing crafts and restore the significance of traditional crafts.
Objective:  
(i) To promote and develop the Handicrafts in the Union Territory of Puducherry.  
(ii) To revive the vanishing crafts and to restore the traditional Handicrafts /trades under the Viswakarma category.  
(iii)  To develop the skills in order to create better employment opportunities and to boost the livelihood of rural poor, who have contributed a significant share to exports by the U.T. of Puducherry. 
","(i) Stipend: Rs. 1,500 /- per month/ per trainee.
To the trainer –
(i) Honorarium Rs. 300/-per month/ per trainee (maximum Rs.3, 000/- per month).
(ii) Compensation for wastage of raw materials Rs.150 /- per month/ per trainee (maximum Rs.1,500/- per month).
",Residence -Should be the native of Puducherry Union Territory (or)Should be a continuous resident for the past three years.Proof: Birth Certificate / Education Certificate/Residence Certificate.Already trained candidates are not eligible to apply.,"The District Industries Centre shall release an advertisement in local daily newspapers thereby inviting applications from eligible applicants.
Step 1: Application will be called through wide publicity every year. Applicant should apply in the prescribed form to this office directly addressed to the General Manager, District Industries Centre, Pondicherry -9. Any application received through any organization or association will not be accepted. 
Step 2: Request a hard copy of the proforma from the concerned authority.
Step 3: Applications should be duly supported by the following documents.
A certificate from the District Collector/ Dy. Commissioner certifies the financial position of the applicant including a certificate that the applicant is not in receipt of financial assistance from any other source. Age certificate from the appropriate authority. 
",Residence Proof -Should be a native of Puducherry Union Territory (or)Should be a continuous resident for the past three years.Proof: Birth Certificate / Education Certificate/Residence Certificate.,https://www.myscheme.gov.in/schemes/doh
"Mahatma Gandhi National Rural Employment Guarantee Act
","An employment scheme by the Ministry of Rural Development, providing provide at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled work. Any Indian citizen above the age of 18 years and residing in a rural area can apply to this scheme. The applicant receives guaranteed employment within 15 days from the date of application.","The applicant receives guaranteed employment within 15 days from the date of application.Work is to be provided within a radius of 5 kilometers of the applicant’s residence if possible, and in any case within the Block. If the applicant lives more than 5 km away from the worksite, he/she will be entitled to a travel and subsistence allowance (10% of the minimum wage).Wages are paid within a week, or fifteen days at most. Men and Women are paid equally.Shade, drinking water, and first-aid are provided at every worksite.",The applicant must be at least 18 years of age.The applicant must be residing in a Rural Area.,"One can download UMANG App or visit website https://web.umang.gov.in/web_new/home The citizen can login using a mobile number and OTP.Once logged In, citizen can search for MGNREGA.Click on “Apply for Job Card”Fill in the basic details, choose the mode of payment of pension, upload photo and click on “Submit”.","Photograph of ApplicantName, Age, and Gender of all NREGA Job Card Applicants from the applicant’s householdName of Village, Gram Panchayat, BlockProof of Identity (Ration card, Voter ID Card, Aadhaar, PAN)Details of whether the applicant is a beneficiary of SC / ST / Indira Awaas Yojana (IAY) / Land Reform (LR)Specimen Signature / Thumb impression",https://www.myscheme.gov.in/schemes/mgnrega
Free Education For Sports Medal Winners / Participants Of National/ International Events,"Sports are not an only institutional competitive activity but also help in educating the youths regarding their behavior and their qualities to help in their social and emotional adjustment with the society at large irrespective of culture, religion, or beliefs. It is not only a method of recreational growth and development but also helps in the integration of youth with the country’s social order.


To bring laurels to the country and for personal and professional development in sports, the youth have to not only spend their time but also their limited resources to excel. It would be imperative that the country as a whole supports its efforts financially so that resources are not a constraint to their education and sports development.
","Medals at Olympics, World Championship (more than 20 countries)
Tuition Fee and Other Funds: Bachelor's degree: Actual; PG: Actual; Diploma: Actual; PG Degree: Actual; M. Phil: Rs. 7500/- per month + Actual; Ph.D.: As per with JRF scale (UGC); MBA or 
other professional courses (*): Rs. 7500/- per month + Actual.
Hostel Facilities (Boarding and Lodging): Actual 
Allowances for special courses abroad: As per Govt of India’s norms
Kit: Rs. 15000 per annum","(i) The Scholarship will be provided to the Medal winners of National games and participants in recognized international sporting events recognized by the World University Service, International Olympic Committee, and Olympic Committee of Asia (OCA) who have taken admitted to the Universities/Colleges/Institutions as indicated below: 
Universities/Institutions/Colleges included under sections 2(f) and 12(b) of the UGC Act, 1956. Deemed to be Universities under section 3 of the UGC Act, 1956 which are eligible to receive grants in aid from UGC. Universities/Institutions/Colleges funded by Central/ State Govt. Institutes of National Importance. 
(ii) In the subsequent years this scholarship shall depend on their subsequent sports performance. 
","The candidate is required to submit an application through an online portal i.e. http://www.ugc.ac.in/page/XII-PlanGuidelines.aspx for availing of the scholarship. A Certificate of the participation/medal winner as per the eligibility mentioned above as proof (Attested by Registrar/Principal/Director) has to be submitted at the time of filling out the online application. The amount will be reimbursed by UGC through DBT mode.


Note: Candidates have to apply strictly as per the instructions given in the online portal. Incomplete 
the application will not be considered.","To Be Submitted by the Candidate through University/College - 
1. The candidate is required to submit an application in the prescribed format for availing of the scholarship.
2. A Certificate of the participation/medal winner as per the eligibility mentioned above as proof (Attested By Registrar/Principal).
",https://www.myscheme.gov.in/schemes/fesmwpnie
"Film Finance Scheme",The Film Finance Scheme of Assam plays a crucial role in boosting the regional film industry by providing financial support to filmmakers. It aims to promote the creation of high-quality films that showcase the rich cultural heritage and talent of Assam. The scheme recognizes the importance of cinema as a powerful medium of storytelling and seeks to encourage local filmmakers to produce engaging and impactful content.,"•	Financial assistance at different stages of film production, including script development, pre-production, production, post-production, marketing, and distribution.
•	Support for both feature films and documentaries.
•	Access to professional guidance and expertise.
•	Opportunities for exposure and recognition within the industry.
","•	Applicants must be Indian citizens and residents of Assam.
•	The film project should be in the Assamese language or any other recognized regional language of Assam.
•	Filmmakers must have a valid registration with the appropriate film bodies or associations.
•	The applicant should have a bank account in a recognized Indian bank.
•	The film project should have a well-developed script and a compelling storyline.
•	The applicant must demonstrate the feasibility and commercial viability of the project.
•	The project should have a clear budget and financial plan.
•	Filmmakers may be required to fulfill specific reporting and documentation requirements as per the scheme's guidelines.
","Download the application form https://filmfinance.assam.gov.in/portlets/film-finance from the official website. Fill in the required details accurately and completely.Attach supporting documentSubmit the application by visiting the designated government office.After submitting the application, it's advisable to follow up with the concerned department or officials to track the progress of your application.",Application formProject proposalScriptBudget planFinancial statementsProduction scheduleDirector/Producer's profileLegal agreementsBank account details,https://www.myscheme.gov.in/schemes/fss
"Goa State Best Library and Best Librarian Award","The scheme ""Goa State Best Library and Best Librarian Award"" has been designed by the Directorate of Art and Culture, Government of Goa envisaging grant of awards for one meritorious Library and one Librarian serving either in any Government or Government–aided Libraries in the State of Goa, which include the Public/Academic/Special/Research Libraries every year. ","Goa State Best Library Award
A cash prize of ₹ 50,000/-, a Memento, a Citation and a Certificate. 


Goa State Best Librarian Award
A cash prize of ₹ 25,000/-, a Memento, a Citation and a Certificate. 


Number of Awards
Every year one Library and one Librarian will be selected for the award. ","The library should be in existence for a minimum period of 15 years. The library should have a minimum of 100 registered members for the last 5 years. The library should have in possession a minimum of 2500 books, periodicals etc., in readable condition. The library should have a proper infrastructure with retrieval facilities. The library should be spacious, having a minimum area of 40 sq. mts. and with proper ventilation. The library should have conducted regular programmes etc. for the members/public to enhance their reading habits and knowledge. The library should have maintained all the library records properly and up to date. The award shall be conferred to only one well-stacked library from the State of Goa.","Step 1: The interested applicant should visit the Goa State Central Library.
Step 2: Take a print of the proforma of the application form, or request a hard copy from the concerned authority.
Step 3: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across), and attach copies of all the mandatory documents (self-attest if required).
Step 4: Submit the duly filled and signed application form along with the documents to the Curator, Goa State Central Library, Patto, Panaji – Goa. Ph. No. 0832-2437947, Email: lib-cent.goa@nic.in, Website: https://www.artandculture.goa.gov.in","For Library
Photograph of Library Front view.Collection details of Library (Library which is being recommended).A Few Photographs of the Library with the Collection.


For Librarian
Contribution of Librarian.",https://www.myscheme.gov.in/schemes/gsblbla
Pradhan Mantri Gram Sadak Yojana,"With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations with a population of up to 500(Census 2001) in plain area and 250 and above in Special category States(States of North East, Jammu, and Kashmir, Himachal Pradesh, Uttarakhand), Desert Area as identified by Desert Development Program and 88 selected Backward Districts as identified by the Ministry of Home Affairs/Planning Commission as a strategy for poverty alleviation.


As of 8th December 2021, a total of 6,80,040 km of road length has been constructed under various interventions of Pradhan Mantri Gram Sadak Yojana (PMGSY). The primary objective of PMGSY concerns building robust, all-weather roads in rural habitations and other core areas. Panchayati Rajs and elected local representatives decide which habitations to be selected. This scheme was centrally funded only up to 2015-16. Since then, the funds have been divided between the Centre and the State. For North Eastern and Himalayan States (Jammu & Kashmir, Uttarakhand, and Himachal Pradesh) 90% of a project is the Union Government funds, and 10% of this cost, is the State Government funds. For the Other States, the Union Government funds around 60% of a project while the remaining 40% is by State Government funds.
","The benefits of the Pradhan Mantri Gram Sadak Yojana (PMGSY) are -
1.  All-weather connection to the hamlets that are least or not connected.
2.  Overall Development of the country allows for easy movement of goods and vehicles.
3.  There are better employment opportunities for those from villages thanks to road connections.","1.  A region must be a habitation. It cannot be a hamlet or revenue village to be eligible for the Pradhan Mantri Gram Sadak Yojana (PMGSY).


2.  The Central Government describes habitation as a population cluster residing within an area that remains constant over time. Some of the local words used to describe a habitation are:
Majras, Desam, Hamlets, Tolas, Dhanis


3.  The hamlet must have a higher population as per the 2001 Census to be eligible for road connection. The eligible habitations have a population of above 500 persons in plain areas and around 250 persons and above in hilly areas.","The list of road works to be taken up under the Programme will be finalized each year by the District Panchayat in accordance with the allocation of funds communicated to the district. The District Panchayat has to ensure along with the consultative process, that the lists of proposed road works are part of the Core Network and that new connectivity is given priority.","The release of the second installment in a year shall be subject to the submission of the following documents:


1.  Utilisation Certificate for the funds released earlier, year-wise in the form prescribed.
2.  Certificate by the Bank Manager indicating the balance amount on the date of issue of the Certificate and the interest credited.
3.  A Certificate regarding the requisite physical completion of works
4.  For all releases after October of a year, production of an Audited Statement of Accounts and a Balance Sheet and related Statements, duly certified by the Chartered Accountant for the accounts of the previous financial year.
5.  Outputs of the relevant modules of the OMMAS, duly certified by the SRRDA as being correct and verified by the NRIDA
6.  A certificate from the CEO of SRRDA that Maintenance funds required as per maintenance contracts in force had been spent during the previous financial year. For releases after May of a year, the certificate should also include that 50% of such maintenance fund requirements for the current Financial Year have been released by the State, whereas for releases after November, the certificate should be for 100% of such funds.",https://www.myscheme.gov.in/schemes/pmgsy
